Player,Skill Tier,time_played,games_won,win_percentage,weapon_accuracy_best_in_game,eliminations_per_life,kill_streak_best,eliminations_avg_per_10_min,deaths_avg_per_10_min,final_blows_avg_per_10_min,solo_kills_avg_per_10_min,objective_kills_avg_per_10_min,objective_time_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills
PedrosGoons#2859,Master,2160,0,14,32,1.89,5,10.0,5.28,3.06,0.56,1.94,46,3773,7949,73,1216,363,22,12,66,8,5,17
Ghost#216969,Master,5843,5,71,41,2.6,12,12.53,4.83,3.39,0.51,2.67,53,4472,7546,76,1533,458,57,32,68,16,7,55
r5a#1610,Master,82711,58,49,64,1.5,9,9.94,6.64,2.34,0.14,4.69,81,3576,7585,93,39373,756,566,397,114,14,9,600
Oseni#21569,Master,2542,2,61,38,1.83,9,10.38,5.66,1.42,0,2.12,51,3255,7989,79,742,374,24,8,58,12,4,19
Youqi#2529,Master,7032,5,49,28,1.5,6,8.7,5.8,1.37,0.09,2.73,38,2759,9207,86,2963,472,76,34,66,13,9,39
MEGATRON26#21168,Master,51481,40,56,33,1.56,8,8.6,5.51,2.12,0.19,3.11,64,3045,9885,100,17154,1051,413,214,75,14,11,378
KOOOOOOOSINA#3934,Master,53094,43,51,100,2.34,13,10.4,4.44,2.63,0.24,2.6,34,3942,10135,93,19948,750,409,230,100,11,11,441
Krash#21414,Master,4629,5,68,40,1.29,6,8.04,6.22,2.72,0.39,4.02,68,3532,7560,71,1708,306,39,18,64,9,6,25
Gorilla#11477,Master,92272,76,59,47,1.87,15,9.32,4.97,2.52,0.2,2.57,37,3780,8801,100,36005,889,706,396,81,18,8,600
JimmCee#1965,Master,9666,9,71,36,2.52,9,10.8,4.28,2.11,0,3.72,75,3867,7765,100,2717,334,84,52,100,12,8,64
